tm_player_id,fotmob_player_id,fotmob_name,tm_name,status
743498,1341387,Wilson Odobert,Wilson Odobert,matched
866246,1386775,Lucas Bergvall,Lucas Bergvall,matched
725912,1341475,Antonín Kinsky,Antonín Kinský,matched
192765,276121,Ben Davies,Ben Davies,matched
1086258,1636513,Souza,Souza,matched
294057,493165,James Maddison,James Maddison,matched
568693,1113753,Dane Scarlett,Pape Matar Sarr,unmatched
866246,1693398,Junai Byfield,Lucas Bergvall,unmatched
922693,1290962,Ashley Phillips,Archie Gray,unmatched
557459,1609329,Min-Hyeok Yang,Micky van de Ven,unmatched
258889,822237,Manor Solomon,Dominic Solanke,unmatched
557459,1407250,Mikey Moore,Micky van de Ven,unmatched
314875,523825,Jarrod Bowen,Jarrod Bowen,matched
1111589,1451265,Malick Diouf,El Hadji Malick Diouf,matched
415912,719219,Konstantinos Mavropanos,Konstantinos Mavropanos,matched
283628,524437,Tomás Soucek,Tomáš Souček,matched
477758,760320,Aaron Wan-Bissaka,Aaron Wan-Bissaka,matched
